units,base,,name,img,type,effect,VP
1,eventbase.png,,Fighting Dojo,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Perm Event,Dice in the Attack Zone are worth +1 EXP.,
1,eventbase.png,,Blizzard!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Perm Event,"A Blizzard envelops the region. For two Rounds, All non-Ice Type Pokemon may only move 1 space. Then Discard this card.",
1,eventbase.png,,Sandstorm!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Perm Event,"A Sandstorm envelops the region. For two Rounds, All non-Ground Type Pokemon may only move 1 space. Then Discard this card.",
1,eventbase.png,,Fighting Spirit Gym,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Perm Event,Dice in the Defense Zone are worth +1 EXP.,
1,eventbase.png,,Bug Catcher David,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Evolve a Pokémon!,1
1,eventbase.png,,Great Bug Catcher David,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Have the final Pokemon in a 3-stage Evolution line,2
1,eventbase.png,,Nerd Tobi,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Learn 2 new moves in 1 turn,1
1,eventbase.png,,Super Nerd Tobi,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Learn 3 new moves in 1 turn,2
1,eventbase.png,,Whitebelt Kjardon,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Attack for 10+ damage in a single round of combat,1
1,eventbase.png,,Blackbelt Kjardon,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Attack for 20+ damage in a single round of combat,2
1,eventbase.png,,Bird Watcher snid,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Hold 10+ cards in hand,1
1,eventbase.png,,Bird Keeper snid,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Hold 15+ cards in hand,2
1,eventbase.png,,Biker,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Add 2 Posion Cards in a single turn,1
1,eventbase.png,,Biker,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Add 2 Posion Cards in a single turn,1
1,eventbase.png,,Hiker Gefjørn,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Defend for 10+ damage in a single round of combat,1
1,eventbase.png,,Rock Climber Gefjørn,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Defend for 20+ damage in a single round of combat,2
1,eventbase.png,,Surfer Bimon,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Have 3 or more Water types in your party,1
1,eventbase.png,,Fisherman Bimon,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,Have 6 or more Water types in your party,2
1,eventbase.png,,Boulder Badge: Gym Battle!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,"Place the Boulder Badge at Pewter City.

Discard this card immediately.",3
1,eventbase.png,,Cascade Badge: Gym Battle!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,"Place the Cascade Badge at Cerulean City.

Discard this card immediately.",3
1,eventbase.png,,Thunder Badge: Gym Battle!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,"Place the Thunder Badge at Vermilion City.

Discard this card immediately.",3
1,eventbase.png,,Rainbow Badge: Gym Battle!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,"Place the Rainbow Badge at Celadon City.

Discard this card immediately.",3
1,eventbase.png,,Soul Badge: Gym Battle!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,"Place the Soul Badge at Fuchsia City.

Discard this card immediately.",3
1,eventbase.png,,Marsh Badge: Gym Battle!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,"Place the Marsh Badge at Saffron City.

Discard this card immediately.",3
1,eventbase.png,,Volcano Badge: Gym Battle!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,"Place the Volcano Badge at Cinnabar Island.

Discard this card immediately.",3
1,eventbase.png,,Earth Badge: Gym Battle!,titan_articuno_by_tamberella_ddqckiy-414w-2x.jpg,Quest,"Place the Earth Badge at Viridian City.

Discard this card immediately.",3
