units,base,id,name,sprite,title,type,hp,atk,def,spd,trigger,trigger2,trigger3,ability,explanation,sm1sprite,lg1sprite,ida,sm2sprite,lg2sprite,idb,sm3sprite,lg3sprite,idc
1,base1.png,No.122,MR. MIME,122.png,THE BARRIER POKÉMON,PSYCHIC,3,6,7,8,,,,"Mr. Mime forces all 1's to become 12's, and 12's become 1's.",,,,,,122.png,No.122,,,
1,base3c.png,No.OO3,VENUSAUR,3.png,THE SEED POKÉMON,GRASS,7,7,7,7,,,,"At the end of each Round, Venusaur Recovers 3 HP to all allies",,1.png,,No.OO1,2.png,,No.OO2,,3.png,No.OO3
1,base3c.png,No.OO6,CHARIZARD,6.png,THE FLAME POKÉMON,FIRE,6,8,7,7,,,,Charizard gets +3 ATK for every Burned die it has.,*Burned die:* Burned dice will not be rolled the next round,4.png,,No.OO4,5.png,,No.OO5,,6.png,No.OO6
1,base3c.png,No.OO9,BLASTOISE,9.png,THE SHELLFISH POKÉMON,WATER,7,7,8,6,,,,"Immediately before Attacking, Blastoise may move any 3 ally dice from the Defense Zone to the Attack Zone or vice versa regardless of stats.",,7.png,,No.OO7,8.png,,No.OO8,,9.png,No.OO9
1,base3c.png,No.O18,PIDGEOT,18.png,THE BIRD POKÉMON,FLYING,7,6,6,8,,,,"If an ally is slower than Pidgeot, Pidgeot Draws them 3 Cards at the start of Round",,16.png,,No.O16,17.png,,No.O17,,18.png,No.O18
1,base2b.png,No.O22,FEAROW,22.png,THE BEAK POKÉMON,FLYING,6,6,5,8,,,,"At the start of Round an ally may discard X cards, then Fearow Draws X",,21.png,,No.O21,,,,,22.png,No.O22
1,base2b.png,No.O26,RAICHU,26.png,THE MOUSE POKÉMON,ELECTRIC,5,7,6,9,,,,,,25.png,,No.O25,,,,,26.png,No.O26
1,base3c.png,No.O31,NIDOQUEEN,31.png,THE DRILL POKÉMON,POISON,7,7,7,6,,,,Whenever you add a Poison card to the Rival's Deck. Nidoqueen gives -3 to a die of your choice.,,29.png,,No.O29,30.png,,No.O3O,,31.png,No.O31
1,base3c.png,No.O34,NIDOKING,34.png,THE DRILL POKÉMON,POISON,7,7,6,7,,,,Whenever you add a Poison card to the Rival's Deck. Nidoking gives +3 to a die of your choice.,,32.png,,No.O32,33.png,,No.O33,,34.png,No.O34
1,base2b.png,No.O36,CLEFABLE,36.png,THE FAIRY POKÉMON,NORMAL,8,7,6,5,,,,"At the start of Clefable's Turns look at the top 3 cards of the Move Deck. If it is an item, gain it.",,35.png,,No.O35,,,,,36.png,No.O36
1,base2b.png,No.O38,NINETALES,38.png,THE FOX POKÉMON,FIRE,6,6,7,9,,,,Ninetales allows allies to use Burned dice as rolls of 6,*Burned die:* Burned dice will not be rolled the next round,37.png,,No.O37,,,,,38.png,No.O38
1,base2b.png,No.O4O,WIGGLYTUFF,40.png,THE BALLOON POKÉMON,NORMAL,11,6,4,4,,,,At the start of an ally's turn. Wigglytuff grants them +3 EXP,,39.png,,No.O39,,,,,40.png,No.O4O
1,base2b.png,No.O42,GOLBAT,42.png,THE BAT POKÉMON,POISON,6,6,6,7,,,,,,41.png,,No.O41,,,,,42.png,No.O42
1,base3c.png,No.O45,VILEPLUME,45.png,THE FLOWER POKÉMON,GRASS,6,8,7,4,,,,,,43.png,,No.O43,44.png,,No.O44,,45.png,No.O45
1,base2b.png,No.O49,VENOMOTH,49.png,THE POISON MOTH POKÉMON,BUG,6,6,5,8,,,,"At the start of your turn, Venomoth may switch the locations of 2 wild Pokemon on the same Route.",,48.png,,No.O48,,,,,49.png,No.O49
1,base2b.png,No.O53,PERSIAN,53.png,THE CLASSY CAT POKÉMON,NORMAL,5,5,5,1O,,,,Meowth increases the EXP gained from unused dice by 2,,52.png,,No.O52,,,,,53.png,No.O53
1,base2b.png,No.O55,GOLDUCK,55.png,THE DUCK POKÉMON,WATER,7,7,6,7,,,,Golduck allows any ally to use another allies' ATK and DEF instead of its own.,,54.png,,No.O54,,,,,55.png,No.O55
1,base2b.png,No.O57,PRIMEAPE,57.png,THE PIG MONKEY POKÉMON,FIGHTING,5,7,5,8,,,,Mankey increases all allied X values by 2.,,56.png,,No.O56,,,,,57.png,No.O57
1,base2b.png,No.O59,ARCANINE,59.png,THE LEGENDARY POKÉMON,FIRE,8,8,6,8,,,,"Whenever an ally Burns dice, Arcanine Burns an equal number of enemy dice.",*Burned die:* Burned dice will not be rolled the next round,58.png,,No.O58,,,,,59.png,No.O59
1,base3c.png,No.O62,POLIWRATH,62.png,THE TADPOLE POKÉMON,WATER,7,7,7,6,,,,,,60.png,,No.O6O,61.png,,No.O61,,62.png,No.O62
1,base3c.png,No.O65,ALAKAZAM,65.png,THE PSI POKÉMON,PSYCHIC,5,7,6,1O,,,,"After rolling dice, Alakazam may target any 1 die and give it +3 or -3",,63.png,,No.O63,64.png,,No.O64,,65.png,No.O65
1,base3c.png,No.O68,MACHAMP,68.png,THE SUPERPOWER POKÉMON,FIGHTING,7,8,7,4,,,,"Whenever Machamp uses a Fighting type move, it gains +3 ATK till the end of Round.",,66.png,,No.O66,67.png,,No.O67,,68.png,No.O68
1,base3c.png,No.O71,VICTREEBEL,71.png,THE FLYCATCHER POKÉMON,GRASS,7,8,5,6,,,,,,69.png,,No.O69,70.png,,No.O7O,,71.png,No.O71
1,base2b.png,No.O73,TENTACRUEL,73.png,THE JELLYFISH POKÉMON,WATER,7,6,7,8,,,,,,72.png,,No.O72,,,,,73.png,No.O73
1,base3c.png,No.O76,GOLEM,76.png,THE MEGATON POKÉMON,ROCK,6,7,8,4,,,,"Golem may discard dice equal to or lower than its DEF value, to reduce incoming damage by 3.",,74.png,,No.O74,75.png,,No.O75,,76.png,No.O76
1,base2b.png,No.O78,RAPIDASH,78.png,THE FIRE HORSE POKÉMON,FIRE,5,7,6,9,,,,Rapidash gives all allies +1 ATK for each Burned dice you own,*Burned die:* Burned dice will not be rolled the next round,77.png,,No.O77,,,,,78.png,No.O78
1,base2b.png,No.O8O,SLOWBRO,80.png,THE HERMIT CRAB POKÉMON,WATER,8,7,8,2,,,,"Whenever a die enters an ally's Defense Zone, Kingler grants all allies +1 ATK.",,79.png,,No.O79,,,,,80.png,No.O8O
1,base2b.png,No.O85,DODRIO,85.png,THE TRIPLE BIRD POKÉMON,FLYING,5,7,5,9,,,,You may roll 3 Movement dice instead of 1. You pick which result you would like to use.,,84.png,,No.O84,,,,,85.png,No.O85
1,base2b.png,No.O87,DEWGONG,87.png,THE SEA LION POKÉMON,ICE,7,6,7,6,,,,"At the start of each Round, Dewgong Freezes 3 ally dice.",,86.png,,No.O86,,,,,87.png,No.O87
1,base2b.png,No.O89,MUK,89.png,THE SLUDGE POKÉMON,POISON,9,7,7,4,,,,Whenever you add Poison cards to the Rival's Deck. Muk recovers HP to all allies equal to the number of Poison cards added.,,88.png,,No.O88,,,,,89.png,No.O89
1,base2b.png,No.O91,CLOYSTER,91.png,THE BIVALVE POKÉMON,ICE,4,7,9,6,,,,,,90.png,,No.O9O,,,,,91.png,No.O91
1,base3c.png,No.O94,GENGAR,94.png,THE SHADOW POKÉMON,GHOST,5,8,5,9,,,,"At the start of Round, Haunter forcing Rival to Discard 3 Cards.",,92.png,,No.O92,93.png,,No.O93,,94.png,No.O94
1,base2b.png,No.O97,HYPNO,97.png,THE HYPNOSIS POKÉMON,PSYCHIC,7,6,7,6,,,,"After rolling dice, Hypno may re-roll any number of allied dice",,96.png,,No.O96,,,,,97.png,No.O97
1,base2b.png,No.O99,KINGLER,99.png,THE PINCER POKÉMON,WATER,5,7,7,6,,,,"Whenever an ally loses HP, Seadra draws 1.",,98.png,,No.O98,,,,,99.png,No.O99
1,base2b.png,No.1O1,ELECTRODE,101.png,THE BALL POKÉMON,ELECTRIC,5,5,6,13,,,,,,100.png,,No.1OO,,,,,101.png,No.1O1
1,base2b.png,No.11O,WEEZING,110.png,THE POISON GAS POKÉMON,POISON,5,7,8,5,,,,Whenever you add Poison cards to the Rival's Deck. Weezing deals damage equal to the number of Poison cards added.,,109.png,,No.1O9,,,,,110.png,No.11O
1,base2b.png,No.119,SEAKING,119.png,THE GOLDFISH POKÉMON,WATER,7,6,6,6,,,,,,118.png,,No.118,,,,,119.png,No.119
1,base2b.png,No.121,STARMIE,121.png,THE MYSTERIOUS POKÉMON,WATER,5,7,7,9,,,,,,120.png,,No.12O,,,,,121.png,No.121
1,base1.png,No.124,JYNX,124.png,THE HUMAN SHAPE POKÉMON,ICE,5,7,5,8,,,,,,,,,,124.png,No.124,,,
1,base1.png,No.125,ELECTABUZZ,125.png,THE ELECTRIC POKÉMON,ELECTRIC,5,7,6,9,,,,,,,,,,125.png,No.125,,,
1,base1.png,No.126,MAGMAR,126.png,THE SPITFIRE POKÉMON,FIRE,5,8,6,8,,,,,,,,,,126.png,No.126,,,
1,base2b.png,No.13O,GYARADOS,130.png,THE ATROCIOUS POKÉMON,WATER,8,7,7,7,,,,,,129.png,,No.129,,,,,130.png,No.13O
1,base1.png,No.131,LAPRAS,131.png,THE TRANSPORT POKÉMON,ICE,11,7,7,5,,,,"At the start of Turn, Lapras may ferry you to any Town instead of moving",,,,,,131.png,No.131,,,
1,base1.png,No.134,VAPOREON,134.png,THE BUBBLE JET POKÉMON,WATER,11,7,6,5,,,,,,,,,,134.png,No.134,,,
1,base1.png,No.135,JOLTEON,135.png,THE LIGHTNING POKÉMON,ELECTRIC,5,7,6,11,,,,,,,,,,135.png,No.135,,,
1,base1.png,No.136,FLAREON,136.png,THE FLAME POKÉMON,FIRE,6,9,7,6,,,,,,,,,,136.png,No.136,,,
1,base1.png,No.143,SNORLAX,143.png,THE SLEEPING POKÉMON,NORMAL,13,7,7,3,,,,"At the end of Snorlax's turn, you may Forget 1 Move.",,,,,,143.png,No.143,,,
1,base1.png,No.113,CHANSEY,113.png,THE EGG POKÉMON,NORMAL,21,2,4,4,,,,"At the start of an ally's turn, you may learn a new move disregarding cost",,,,,,113.png,No.113,,,
1,base1.png,No.123,SCYTHER,123.png,THE MANTIS POKÉMON,BUG,6,7,6,9,,,,All bonuses from Bug type Pokemon are doubled on Scyther.,,,,,,123.png,No.123,,,
