units,base,id,name,sprite,title,type,hp,atk,def,spd,trigger,trigger2,trigger3,ability,explanation,sm1sprite,lg1sprite,ida,sm2sprite,lg2sprite,idb,sm3sprite,lg3sprite,idc,tier,common,uncommon,rare,se,setext
1,base2a.png,No.O23,EKANS,23.png,THE SNAKE POKÉMON,POISON,3,4,4,2,,,,All your Poison moves gain Poison 1 if they don't already Poison.,,,23.png,No.O23,,,,24.png,,No.O24,T1.png,T1.png,,,BugType.png,+1
1,base2a.png,No.O25,PIKACHU,25.png,THE MOUSE POKÉMON,ELECTRIC,3,4,4,4,,,,"After rolling dice, Pikachu may target 1 die, and grant it +1.",,,25.png,No.O25,,,,26.png,,No.O26,T1.png,T1.png,,,FlyingType.png,+1
1,base2a.png,No.O27,SANDSHREW,27.png,THE MOUSE POKÉMON,GROUND,4,4,4,2,,,,Whenever an opposing Pokemon is defeated Sandshrew gives the active Pokemon +1 DEF.,,,27.png,No.O27,,,,28.png,,No.O28,T1.png,T1.png,,,ElectricType.png,+1
1,base3a.png,No.O29,NIDORAN♀,29.png,THE POISON PIN POKÉMON,POISON,4,4,4,2,,,,"Whenever you catch a Pokemon, Nidoran♀ adds 1x Poison Cards to ALL Rivals' decks.",,,29.png,No.O29,30.png,,No.O3O,31.png,,No.O31,T1.png,T1.png,,,BugType.png,+1
1,base3a.png,No.O32,NIDORAN♂,32.png,THE POISON PIN POKÉMON,POISON,4,4,3,2,,,,"Whenever you defeat a Pokemon, Nidoran♂ adds 1x Poison Cards to ALL Rivals' decks.",,,32.png,No.O32,33.png,,No.O33,34.png,,No.O34,T1.png,T1.png,,,BugType.png,+1
1,base2a.png,No.O35,CLEFAIRY,35.png,THE FAIRY POKÉMON,NORMAL,6,4,4,2,,,,"At the beginning of your Round, Clefairy may look at the top of any basic Route deck. It may put this card on the bottom instead.",,,35.png,No.O35,,,,36.png,,No.O36,T1.png,T1.png,,,,
1,base2a.png,No.O37,VULPIX,37.png,THE FOX POKÉMON,FIRE,3,4,4,3,,,,Vulpix gives the active Pokemon +1 ATK for each card in your Burn Zone.,,,37.png,No.O37,,,,38.png,,No.O38,T1.png,T1.png,,,GrassType.png,+1
1,base2a.png,No.O39,JIGGLYPUFF,39.png,THE BALLOON POKÉMON,NORMAL,9,4,2,1,,,,"At the beginning of your Round, Jigglypuff may look at the top of the Event deck. It may put this card on the bottom instead.",,,39.png,No.O39,,,,40.png,,No.O4O,T1.png,T1.png,,,,
1,base2a.png,No.O41,ZUBAT,41.png,THE BAT POKÉMON,POISON,3,3,3,3,,,,Whenever you add Poison cards to any Rival's Deck. Zubat recovers 1 HP to all allies.,,,41.png,No.O41,,,,42.png,,No.O42,T1.png,T1.png,,,BugType.png,+1
1,base3a.png,No.O43,ODDISH,43.png,THE WEED POKÉMON,GRASS,4,5,5,1,,,,Whenever you encounter a wild Pokemon. Oddish reveals 1 additional card.,,,43.png,No.O43,44.png,,No.O44,45.png,,No.O45,T1.png,T1.png,,,WaterType.png,+1
1,base2a.png,No.O46,PARAS,46.png,THE MUSHROOM POKÉMON,BUG,3,5,4,1,,,,When Parasect is revealed (even if not encountered). Evolve Paras immediately. Re-draw the encounter.,,,46.png,No.O46,,,,47.png,,No.O47,T1.png,T1.png,,,IceType.png,+1
1,base2a.png,No.O48,VENONAT,48.png,THE INSECT POKÉMON,BUG,5,4,4,2,,,,When Venomoth is revealed (even if not encountered). Evolve Venonat immediately. Re-draw the encounter.,,,48.png,No.O48,,,,49.png,,No.O49,T1.png,T1.png,,,IceType.png,+1
1,base2a.png,No.O5O,DIGLETT,50.png,THE MOLE POKÉMON,GROUND,1,3,3,5,,,,"Whenever you play a Ground-type move, Diglett Digs 1.",,,50.png,No.O5O,,,,51.png,,No.O51,T1.png,T1.png,,,ElectricType.png,+1
1,base2a.png,No.O52,MEOWTH,52.png,THE SCRATCH CAT POKÉMON,NORMAL,3,3,3,5,,,,"The first time the active Pokemon defeats an opposing Pokemon, Meowth gains +1 EXP.",,,52.png,No.O52,,,,53.png,,No.O53,T1.png,T1.png,,,,
1,base2a.png,No.O54,PSYDUCK,54.png,THE DUCK POKÉMON,WATER,4,4,4,3,,,,Psyduck may use its allies ATK and DEF instead of its own.,,,54.png,No.O54,,,,55.png,,No.O55,T1.png,T1.png,,,FireType.png,+1
1,base2a.png,No.O56,MANKEY,56.png,THE PIG MONKEY POKÉMON,FIGHTING,3,5,3,4,,,,Whenever an opposing Pokemon is defeated Mankey gives the active Pokemon +1 ATK.,,,56.png,No.O56,,,,57.png,,No.O57,T1.png,T1.png,,,RockType.png,+1
1,base3a.png,No.O6O,POLIWAG,60.png,THE TADPOLE POKÉMON,WATER,3,4,3,5,,,,The first time an opposing Pokemon increases its Attack. Poliwag increases its own Attack by 1.,,,60.png,No.O6O,61.png,,No.O61,62.png,,No.O62,T1.png,T1.png,,,FireType.png,+1
1,base3a.png,No.O63,ABRA,63.png,THE PSI POKÉMON,PSYCHIC,2,5,3,4,,,,,,,63.png,No.O63,64.png,,No.O64,65.png,,No.O65,T0.png,T0.png,,,FightingType.png,+1
1,base3a.png,No.O66,MACHOP,66.png,THE SUPERPOWER POKÉMON,FIGHTING,6,5,3,2,,,,"Whenever Machop increases its own ATK by 3 or more, it gains an additional +1 ATK.",,,66.png,No.O66,67.png,,No.O67,68.png,,No.O68,T0.png,T0.png,,,RockType.png,+1
1,base3a.png,No.O69,BELLSPROUT,69.png,THE FLOWER POKÉMON,GRASS,4,6,2,2,,,,Whenever an opposing Pokemon is defeated Bellsprout Recovers 1 HP to the active Pokemon.,,,69.png,No.O69,70.png,,No.O7O,71.png,,No.O71,T1.png,T1.png,,,WaterType.png,+1
1,base2a.png,No.O72,TENTACOOL,72.png,THE JELLYFISH POKÉMON,WATER,3,4,5,4,,,,Tentacool reduces the damage of the first Poison card you play every turn by 1.,,,72.png,No.O72,,,,73.png,,No.O73,T1.png,T1.png,,,FireType.png,+1
1,base3a.png,No.O74,GEODUDE,74.png,THE ROCK POKÉMON,ROCK,3,5,5,1,,,,"Whenever Geodude increases its own DEF by 3 or more, it gains an additional +1 DEF.",,,74.png,No.O74,75.png,,No.O75,76.png,,No.O76,T0.png,T0.png,,,PsychicType.png,+1
1,base2a.png,No.O79,SLOWPOKE,79.png,THE DOPEY POKÉMON,WATER,7,4,4,1,,,,,,,79.png,No.O79,,,,80.png,,No.O8O,T1.png,T1.png,,,FireType.png,+1
1,base2a.png,No.O81,MAGNEMITE,81.png,THE MAGNET POKÉMON,ELECTRIC,2,5,5,2,,,,"At the start of any encounter, Magnemite Paralyze 1.",,,81.png,No.O81,,,,82.png,,No.O82,T1.png,T1.png,,,FlyingType.png,+1
1,base2a.png,No.O84,DODUO,84.png,THE TWIN BIRD POKÉMON,FLYING,3,5,3,4,,,,Doduo lets you move up to 2 spaces at a time.,,,84.png,No.O84,,,,85.png,,No.O85,T1.png,T1.png,,,GroundType.png,+1
1,base2a.png,No.O86,SEEL,86.png,THE SEA LION POKÉMON,ICE,5,4,5,2,,,,Whenever an opposing Pokemon is defeated Seel Freezes 1 die.,,,86.png,No.O86,,,,87.png,,No.O87,T1.png,T1.png,,,PoisonType.png,+1
1,base2a.png,No.O88,GRIMER,88.png,THE SLUDGE POKÉMON,POISON,6,5,4,1,,,,"Grimer turns ALL Poison Cards into Badly Poison Cards.

Badly Poison: Deal 2 Damage to the Active Pokemon, then Draw 2.",,,88.png,No.O88,,,,89.png,,No.O89,T1.png,T1.png,,,BugType.png,+1
1,base2a.png,No.O9O,SHELLDER,90.png,THE BIVALVE POKÉMON,ICE,2,5,5,2,,,,Whenever a Rival defeats a Pokemon Shellder Freezes 1 die.,,,90.png,No.O9O,,,,91.png,,No.O91,T1.png,T1.png,,,PoisonType.png,+1
1,base3a.png,No.O92,GASTLY,92.png,THE GAS POKÉMON,GHOST,2,5,3,4,,,,"At the start of Round, Gastly forcing Rival to Discard 1 Card.",,,92.png,No.O92,93.png,,No.O93,94.png,,No.O94,T1.png,T1.png,,,,
1,base2a.png,No.O96,DROWZEE,96.png,THE HYPNOSIS POKÉMON,PSYCHIC,5,4,5,2,,,,"Whenever an event requires you to roll, you may forego doing so. Instead, Drowzee gives you a die of 1 or 12.",,,96.png,No.O96,,,,97.png,,No.O97,T1.png,T1.png,,,FightingType.png,+1
1,base2a.png,No.O98,KRABBY,98.png,THE RIVER CRAB POKÉMON,WATER,2,5,5,3,,,,"The first time a die enters an ally's Defense Zone, Krabby grants all allies +1 ATK.",,,98.png,No.O98,,,,99.png,,No.O99,T1.png,T1.png,,,FireType.png,+1
1,base2a.png,No.1OO,VOLTORB,100.png,THE BALL POKÉMON,ELECTRIC,3,4,4,5,,,,"Voltorb may Explode while it is the active Pokemon. Doing so, deals half its HP (rounded down) in direct damage. Gain 1 EXP per damage dealt.",,,100.png,No.1OO,,,,101.png,,No.1O1,T1.png,T1.png,,,FlyingType.png,+1
1,base2a.png,No.1O4,CUBONE,104.png,THE LONELY POKÉMON,GROUND,4,3,6,2,,,,"The first time an ally performs a Move, Cubone may place the used card back on top of the deck, rather than discard it.",,,104.png,No.1O4,,,,105.png,,No.1O5,T1.png,T1.png,,,ElectricType.png,+1
1,base2a.png,No.1O9,KOFFING,109.png,THE POISON GAS POKÉMON,POISON,3,5,6,2,,,,"Whenever a Rival plays a Poison Card, Koffing deals 1 damage to their active Pokemon.",,,109.png,No.1O9,,,,110.png,,No.11O,T1.png,T1.png,,,BugType.png,+1
1,base2a.png,No.116,HORSEA,116.png,THE DRAGON POKÉMON,WATER,2,5,4,3,,,,"The first time an ally loses HP, Horsea draws 1.",,,116.png,No.116,,,,117.png,,No.117,T1.png,T1.png,,,FireType.png,+1
1,base2a.png,No.118,GOLDEEN,118.png,THE GOLDFISH POKÉMON,WATER,4,4,4,3,,,,"The first time a die enters an ally's Attack Zone, Goldeen grants all allies +1 DEF.",,,118.png,No.118,,,,119.png,,No.119,T1.png,T1.png,,,FireType.png,+1
1,base2a.png,No.12O,STARYU,120.png,THE STAR SHAPE POKÉMON,WATER,2,5,5,4,,,,,,,120.png,No.12O,,,,121.png,,No.121,T1.png,T1.png,,,FireType.png,+1
1,base1.png,No.132,DITTO,132.png,THE TRANSFORM POKÉMON,NORMAL,4,4,4,2,,,,"Whenever Ditto is sent into battle, you may put another Pokemon you own in its place.",,,,,,132.png,No.132,,,,T1.png,T1.png,,,,
1,base3b.png,No.OO2,IVYSAUR,2.png,THE SEED POKÉMON,GRASS,5,5,6,3,,,,If you have at least 2 dice in both your Attack Zone & Defense Zone Ivysaur gains +2 ATK & +2 DEF.,,1.png,,No.OO1,,2.png,No.OO2,3.png,,No.OO3,T2.png,,T2.png,,WaterType.png,+1
1,base3b.png,No.OO5,CHARMELEON,5.png,THE FLAME POKÉMON,FIRE,4,6,5,4,,,,If you have at least 1 die in your Attack Zone Charmeleon gains +2 ATK.,,4.png,,No.OO4,,5.png,No.OO5,6.png,,No.OO6,T2.png,,T2.png,,GrassType.png,+1
1,base3b.png,No.OO8,WARTORTLE,8.png,THE TURTLE POKÉMON,WATER,5,5,6,3,,,,If you have at least 1 die in your Defense Zone Wartortle gains +2 DEF.,,7.png,,No.OO7,,8.png,No.OO8,9.png,,No.OO9,T2.png,,T2.png,,FireType.png,+1
1,base3c.png,No.O12,BUTTERFREE,12.png,THE BUTTERFLY POKÉMON,BUG,5,5,5,4,,,,"Butterfree gives allies DEF equal to number of Bug type Pokemon owned.

(DEF cannot exceed 12)",,10.png,,No.O1O,11.png,,No.O11,,12.png,No.O12,T2.png,,T2.png,,IceType.png,+1
1,base3c.png,No.O15,BEEDRILL,15.png,THE POISON BEE POKÉMON,BUG,5,5,5,4,,,,"Beedrill gives allies ATK equal to number of Bug type Pokemon owned.
",,13.png,,No.O13,14.png,,No.O14,,15.png,No.O15,T2.png,,T2.png,,IceType.png,+1
1,base3b.png,No.O17,PIDGEOTTO,17.png,THE BIRD POKÉMON,FLYING,5,4,4,4,,,,Pidgeotto gives the active Pokemon +2 SPD.,,16.png,,No.O16,,17.png,No.O17,18.png,,No.O18,T2.png,,T2.png,,GroundType.png,+1
1,base3b.png,No.O3O,NIDORINA,30.png,THE POISON PIN POKÉMON,POISON,5,5,5,3,,,,"Whenever you catch a Pokemon, Nidorina adds 2x Poison Cards to ALL Rivals' decks.",,29.png,,No.O29,,30.png,No.O3O,31.png,,No.O31,T2.png,,T2.png,,BugType.png,+1
1,base3b.png,No.O33,NIDORINO,33.png,THE POISON PIN POKÉMON,POISON,5,5,5,3,,,,"Whenever you defeat a Pokemon, Nidorino adds 2x Poison Cards to ALL Rivals' decks.",,32.png,,No.O32,,33.png,No.O33,34.png,,No.O34,T2.png,,T2.png,,BugType.png,+1
1,base3b.png,No.O44,GLOOM,44.png,THE WEED POKÉMON,GRASS,5,6,6,2,,,,Whenever you encounter a wild Pokemon. Gloom reveals 2 additional cards.,,43.png,,No.O43,,44.png,No.O44,45.png,,No.O45,T2.png,,T2.png,,WaterType.png,+1
1,base2b.png,No.O47,PARASECT,47.png,THE MUSHROOM POKÉMON,BUG,5,6,6,2,,,,,,46.png,,No.O46,,,,,47.png,No.O47,T2.png,,T2.png,,IceType.png,+1
1,base2a.png,No.O58,GROWLITHE,58.png,THE PUPPY POKÉMON,FIRE,4,6,4,3,,,,"Whenever you Burn 3 or more Cards at once, Growlithe Deals 1 damage directly.",,,58.png,No.O58,,,,59.png,,No.O59,T2.png,,T2.png,,GrassType.png,+1
1,base3b.png,No.O61,POLIWHIRL,61.png,THE TADPOLE POKÉMON,WATER,5,5,5,4,,,,Whenever an opposing Pokemon increases its Attack. Poliwhirl increases its own Attack by 1.,,60.png,,No.O6O,,61.png,No.O61,62.png,,No.O62,T2.png,,T2.png,,FireType.png,+1
1,base3b.png,No.O64,KADABRA,64.png,THE PSI POKÉMON,PSYCHIC,3,6,4,6,,,,,,63.png,,No.O63,,64.png,No.O64,65.png,,No.O65,T2.png,,T2.png,,FightingType.png,+1
1,base3b.png,No.O7O,WEEPINBELL,70.png,THE FLYCATCHER POKÉMON,GRASS,5,7,4,3,,,,Whenever an opposing Pokemon is defeated Weepinbell Recovers 2 HP to the active Pokemon.,,69.png,,No.O69,,70.png,No.O7O,71.png,,No.O71,T2.png,,T2.png,,WaterType.png,+1
1,base3b.png,No.O75,GRAVELER,75.png,THE ROCK POKÉMON,ROCK,4,6,6,2,,,,"Whenever Graveler increases its own DEF by 2 or more, it gains an additional +1 DEF.",,74.png,,No.O74,,75.png,No.O75,76.png,,No.O76,T2.png,,T2.png,,PsychicType.png,+1
1,base2a.png,No.O77,PONYTA,77.png,THE FIRE HORSE POKÉMON,FIRE,4,6,5,4,,,,"Whenever you Burn 3 or more Cards at once, Ponyta Draws 1.",,,77.png,No.O77,,,,78.png,,No.O78,T2.png,,T2.png,,GrassType.png,+1
1,base1.png,No.O83,FARFETCH'D,83.png,THE WILD DUCK POKÉMON,NORMAL,4,6,5,3,,,,"Whenever you encounter a Wild Pokemon, you may trade a Pokemon you own of equal rarity with the wild Pokemon. (Gain EXP for both Capture and Release)",,,,,,83.png,No.O83,,,,T2.png,,T2.png,,,
1,base3b.png,No.O93,HAUNTER,93.png,THE GAS POKÉMON,GHOST,4,6,4,5,,,,"At the start of Round, Haunter forcing Rival to Discard 2 Cards.",,92.png,,No.O92,,93.png,No.O93,94.png,,No.O94,T2.png,,T2.png,,,
1,base1.png,No.O95,ONIX,95.png,THE ROCK SNAKE POKÉMON,ROCK,3,3,8,4,,,,"When an ally would be K.O'd, Onix may leave them at 1 HP instead.

(This ability can only trigger once per Round)",,,,,,95.png,No.O95,,,,T2.png,,T2.png,,PsychicType.png,+1
1,base1.png,No.1O8,LICKITUNG,108.png,THE LICKING POKÉMON,NORMAL,7,5,6,1,,,,,,,,,,108.png,No.1O8,,,,T2.png,,T2.png,,,
1,base3c.png,No.OO3,VENUSAUR,3.png,THE SEED POKÉMON,GRASS,7,7,7,4,,,,If you have at least 3 dice in both your Attack Zone & Defense Zone Venusaur gains +3 ATK & +3 DEF.,,1.png,,No.OO1,2.png,,No.OO2,,3.png,No.OO3,T3.png,,,T3.png,WaterType.png,+1
1,base3c.png,No.OO6,CHARIZARD,6.png,THE FLAME POKÉMON,FIRE,6,8,6,5,,,,If you have at least 1 die in your Attack Zone Charizard gains +3 ATK.,,4.png,,No.OO4,5.png,,No.OO5,,6.png,No.OO6,T3.png,,,T3.png,GrassType.png,+1
1,base3c.png,No.OO9,BLASTOISE,9.png,THE SHELLFISH POKÉMON,WATER,6,7,8,4,,,,If you have at least 1 die in your Defense Zone Blastoise gains +3 DEF.,,7.png,,No.OO7,8.png,,No.OO8,,9.png,No.OO9,T3.png,,,T3.png,FireType.png,+1
1,base3c.png,No.O18,PIDGEOT,18.png,THE BIRD POKÉMON,FLYING,6,6,6,5,,,,Pidgeot gives the active Pokemon +3 SPD.,,16.png,,No.O16,17.png,,No.O17,,18.png,No.O18,T3.png,,,T3.png,GroundType.png,+1
1,base2b.png,No.O2O,RATICATE,20.png,THE MOUSE POKÉMON,NORMAL,5,5,5,5,,,,"Whenever you release a Pokemon, Raticate gains +2 EXP.",,19.png,,No.O19,,,,,20.png,No.O2O,T3.png,,,T3.png,,
1,base2b.png,No.O22,FEAROW,22.png,THE BEAK POKÉMON,FLYING,5,6,5,5,,,,Whenever an opposing Pokemon is defeated Fearow let's the active Pokemon Discard X to Draw X.,,21.png,,No.O21,,,,,22.png,No.O22,T3.png,,,T3.png,GroundType.png,+1
1,base2b.png,No.O24,ARBOK,24.png,THE COBRA POKÉMON,POISON,5,6,6,4,,,,All your Poison moves additionally gain Poison 1.,,23.png,,No.O23,,,,,24.png,No.O24,T3.png,,,T3.png,BugType.png,+1
1,base2b.png,No.O26,RAICHU,26.png,THE MOUSE POKÉMON,ELECTRIC,5,7,5,6,,,,"After rolling dice, Raichu may target 1 die, and grant it +1 or -1.",,25.png,,No.O25,,,,,26.png,No.O26,T3.png,,,T3.png,FlyingType.png,+1
1,base2b.png,No.O28,SANDSLASH,28.png,THE MOUSE POKÉMON,GROUND,6,6,7,3,,,,Whenever an opposing Pokemon is defeated Sandslash gives the active Pokemon +2 DEF.,,27.png,,No.O27,,,,,28.png,No.O28,T3.png,,,T3.png,ElectricType.png,+1
1,base3c.png,No.O31,NIDOQUEEN,31.png,THE DRILL POKÉMON,POISON,7,7,7,4,,,,"Whenever you catch a Pokemon, Nidoqueen adds 3x Poison Cards to ALL Rivals' decks.",,29.png,,No.O29,30.png,,No.O3O,,31.png,No.O31,T3.png,,,T3.png,BugType.png,+1
1,base3c.png,No.O34,NIDOKING,34.png,THE DRILL POKÉMON,POISON,7,8,6,4,,,,"Whenever you defeat a Pokemon, Nidoking adds 3x Poison Cards to ALL Rivals' decks.",,32.png,,No.O32,33.png,,No.O33,,34.png,No.O34,T3.png,,,T3.png,BugType.png,+1
1,base2b.png,No.O36,CLEFABLE,36.png,THE FAIRY POKÉMON,NORMAL,8,7,6,3,,,,"At the beginning of your Turns, Clefable may look at the top of any basic Route deck. It may put this card on the bottom instead.",,35.png,,No.O35,,,,,36.png,No.O36,T3.png,,,T3.png,,
1,base2b.png,No.O38,NINETALES,38.png,THE FOX POKÉMON,FIRE,6,6,7,5,,,,"Ninetales gives the active Pokemon +2 ATK for each card in your Burn Zone.
",,37.png,,No.O37,,,,,38.png,No.O38,T3.png,,,T3.png,GrassType.png,+1
1,base2b.png,No.O4O,WIGGLYTUFF,40.png,THE BALLOON POKÉMON,NORMAL,11,6,4,2,,,,"At the beginning of your Round, Wigglytuff may look at the top of the Event deck. It may put this card on the bottom instead.",,39.png,,No.O39,,,,,40.png,No.O4O,T3.png,,,T3.png,,
1,base2b.png,No.O42,GOLBAT,42.png,THE BAT POKÉMON,POISON,6,6,6,4,,,,Whenever you add Poison cards to any Rival's Deck. Golbat recovers HP to all allies equal to the number of Poison cards added.,,41.png,,No.O41,,,,,42.png,No.O42,T3.png,,,T3.png,BugType.png,+1
1,base3c.png,No.O45,VILEPLUME,45.png,THE FLOWER POKÉMON,GRASS,6,8,7,2,,,,Whenever you encounter a wild Pokemon. Vileplume reveals 3 additional cards.,,43.png,,No.O43,44.png,,No.O44,,45.png,No.O45,T3.png,,,T3.png,WaterType.png,+1
1,base2b.png,No.O49,VENOMOTH,49.png,THE POISON MOTH POKÉMON,BUG,6,6,5,5,,,,,,48.png,,No.O48,,,,,49.png,No.O49,T3.png,,,T3.png,IceType.png,+1
1,base2b.png,No.O51,DUGTRIO,51.png,THE MOLE POKÉMON,GROUND,3,6,5,6,,,,"Whenever you play a Ground-type move, Dugtrio Digs 2.",,50.png,,No.O5O,,,,,51.png,No.O51,T3.png,,,T3.png,ElectricType.png,+1
1,base2b.png,No.O53,PERSIAN,53.png,THE CLASSY CAT POKÉMON,NORMAL,5,5,5,6,,,,"The first time the active Pokemon defeats an opposing Pokemon, Persian gains +2 EXP.",,52.png,,No.O52,,,,,53.png,No.O53,T3.png,,,T3.png,,
1,base2b.png,No.O55,GOLDUCK,55.png,THE DUCK POKÉMON,WATER,7,7,6,4,,,,Golduck allows any ally to use another allies' ATK and DEF instead of its own.,,54.png,,No.O54,,,,,55.png,No.O55,T3.png,,,T3.png,FireType.png,+1
1,base2b.png,No.O57,PRIMEAPE,57.png,THE PIG MONKEY POKÉMON,FIGHTING,5,7,5,5,,,,Whenever an opposing Pokemon is defeated Primeape gives the active Pokemon +2 ATK.,,56.png,,No.O56,,,,,57.png,No.O57,T3.png,,,T3.png,RockType.png,+1
1,base2b.png,No.O59,ARCANINE,59.png,THE LEGENDARY POKÉMON,FIRE,7,9,7,5,,,,"Whenever you Burn 2 or more Cards at once, Arcanine Deals 1 damage directly.",,58.png,,No.O58,,,,,59.png,No.O59,T3.png,,,T3.png,GrassType.png,+1
1,base3c.png,No.O62,POLIWRATH,62.png,THE TADPOLE POKÉMON,WATER,7,7,7,4,,,,Whenever an opposing Pokemon increases its Attack. Poliwrath increases its own Attack equally.,,60.png,,No.O6O,61.png,,No.O61,,62.png,No.O62,T3.png,,,T3.png,FireType.png,+1
1,base3c.png,No.O65,ALAKAZAM,65.png,THE PSI POKÉMON,PSYCHIC,4,7,6,6,,,,,,63.png,,No.O63,64.png,,No.O64,,65.png,No.O65,T3.png,,,T3.png,FightingType.png,+1
1,base3b.png,No.O67,MACHOKE,67.png,THE SUPERPOWER POKÉMON,FIGHTING,7,6,5,2,,,,"Whenever Machoke increases its own ATK by 2 or more, it gains an additional +1 ATK.",,66.png,,No.O66,,67.png,No.O67,68.png,,No.O68,T3.png,,,T3.png,RockType.png,+1
1,base3c.png,No.O68,MACHAMP,68.png,THE SUPERPOWER POKÉMON,FIGHTING,7,8,6,3,,,,"Whenever Machamp increases its own ATK by 1 or more, it gains an additional +1 ATK.",,66.png,,No.O66,67.png,,No.O67,,68.png,No.O68,T3.png,,,T3.png,RockType.png,+1
1,base3c.png,No.O71,VICTREEBEL,71.png,THE FLYCATCHER POKÉMON,GRASS,7,8,6,4,,,,Whenever an opposing Pokemon is defeated Victreebel Recovers 3 HP to the active Pokemon.,,69.png,,No.O69,70.png,,No.O7O,,71.png,No.O71,T3.png,,,T3.png,WaterType.png,+1
1,base2b.png,No.O73,TENTACRUEL,73.png,THE JELLYFISH POKÉMON,WATER,7,6,8,5,,,,Tentacruel reduces the damage of the any Poison cards you play by 1.,,72.png,,No.O72,,,,,73.png,No.O73,T3.png,,,T3.png,FireType.png,+1
1,base3c.png,No.O76,GOLEM,76.png,THE MEGATON POKÉMON,ROCK,6,7,8,2,,,,"Whenever Golem increases its own DEF by 1 or more, it gains an additional +1 DEF.",,74.png,,No.O74,75.png,,No.O75,,76.png,No.O76,T3.png,,,T3.png,PsychicType.png,+1
1,base2b.png,No.O78,RAPIDASH,78.png,THE FIRE HORSE POKÉMON,FIRE,5,7,6,6,,,,"Whenever you Burn 2 or more Cards at once, Ponyta Draws 1.",,77.png,,No.O77,,,,,78.png,No.O78,T3.png,,,T3.png,GrassType.png,+1
1,base2b.png,No.O8O,SLOWBRO,80.png,THE HERMIT CRAB POKÉMON,WATER,8,7,8,1,,,,,,79.png,,No.O79,,,,,80.png,No.O8O,T3.png,,,T3.png,FireType.png,+1
1,base2b.png,No.O82,MAGNETON,82.png,THE MAGNET POKÉMON,ELECTRIC,4,7,7,3,,,,"At the start of any encounter, Magneton Paralyze 3.",,81.png,,No.O81,,,,,82.png,No.O82,T3.png,,,T3.png,FlyingType.png,+1
1,base2b.png,No.O85,DODRIO,85.png,THE TRIPLE BIRD POKÉMON,FLYING,5,7,5,5,,,,Dodrio lets you move up to 3 spaces at a time.,,84.png,,No.O84,,,,,85.png,No.O85,T3.png,,,T3.png,GroundType.png,+1
