units,base,name,img,type,effect,EXP,stat,change,STAB
1,baseplayer.png,Hypnosis,psychic.png,PsychicType.png,Swap 1 die with your Rival. You choose both dice,11,,,Scry 1
1,baseplayer.png,Thunder Punch,electric.png,ElectricType.png,Target die gets +6. Then Paralyze 1.,12,,,"Paralyze 1
"
1,baseplayer.png,Rolling Kick,fighting.png,FightingType.png,"Target X dice, they gain -3

X: Number of Fighting moves in your Discard",12,,,X+1
1,baseplayer.png,Sky Attack,flying.png,FlyingType.png,Target die gets -11,12,,,Draw +3 Cards
1,baseplayer.png,Blizzard,ice.png,IceType.png,Enemy gains -DEF & -ATK equal to number of Frozen dice.,12,,,Freeze 3 dice
1,baseplayer.png,Whirlwind,normal.png,NormalType.png,"You may replace your encountered wild Pokemon, with the top card of your choice from ANY Route deck",12,,,
1,baseplayer.png,Sludge,poison.png,PoisonType.png,All ally dice gain either -2 or +2,12,,,Poison 2
1,baseplayer.png,Agility,psychic.png,PsychicType.png,All your dice gain -1. This move does not pass priority.,12,,,
1,baseplayer.png,Rock Slide,rock.png,RockType.png,Gain +DEF equal to the number of dice in your Attack Zone.,13,,,
1,baseplayer.png,Fire Blast,fire.png,FireType.png,Target die gets +11. Repeat this effect for every card in your Burn Zone.,14,,,Burn up to 3
1,baseplayer.png,Mega Drain,grass.png,GrassType.png,"3 dice of your choice gain -3.
3 dice of your choice gain +3.",14,,,Recover 3 HP
1,baseplayer.png,Mega Kick,normal.png,NormalType.png,"Return all Moves with 'Kick' in the name, from your Discard pile to your hand.",14,,,
1,baseplayer.png,Mega Punch,normal.png,NormalType.png,"Return all Moves with 'Punch' in the name, from your Discard pile to your hand.",14,,,
1,baseplayer.png,Confuse Ray,ghost.png,GhostType.png,Look at your Rival's Hand. You may Discard 1 card of your choice.,15,,,Rival Discards 1 Card
1,baseplayer.png,Glare,normal.png,NormalType.png,Enemy gains -3 ATK till the end of Turn,15,ATK,-3,
1,baseplayer.png,Swords Dance,normal.png,NormalType.png,"Gain +3 ATK till the end of Turn.
",15,ATK,3,
1,baseplayer.png,Minimize,normal.png,NormalType.png,Gain +3 DEF till the end of Turn,15,DEF,3,
1,baseplayer.png,Screech,normal.png,NormalType.png,Target gains -3 DEF till the end of Turn.,15,DEF,-3,
1,baseplayer.png,Smog,poison.png,PoisonType.png,All ally dice gain either -3 or +3,16,,,Poison 3
1,baseplayer.png,Thunder,electric.png,ElectricType.png,Target 6 dice get +2,18,,,"Paralyze 3
"
1,baseplayer.png,Roar,normal.png,NormalType.png,"You may replace your encountered wild Pokemon, with another one of your choice from the same Route deck",18,,,
1,baseplayer.png,Fissure,ground.png,GroundType.png,Search your deck for 1 Card and put it into your hand. Then shuffle your deck.,20,,,
1,baseplayer.png,Hyper Beam,normal.png,NormalType.png,"Put 1 die you own, into your Attack Zone regardless of value",20,,,
1,baseplayer.png,Substitute,normal.png,NormalType.png,"Put 1 die you own, into your Defense Zone regardless of value",20,,,
1,baseplayer.png,Solar Beam,grass.png,GrassType.png,"1 die of your choice gains -11.
1 die of your choice gains +11.",24,,,Recover 5 HP
1,baseplayer.png,Bicycle,normal.png,NormalType.png,You may move 1 additional space this turn,,,,
1,baseplayer.png,Rare Candy,normal.png,NormalType.png,Gain +1 EXP,,,,
1,baseplayer.png,Evolution Stone,normal.png,NormalType.png,Gain +2 EXP,,,,
1,baseplayer.png,X Attack,normal.png,NormalType.png,Active Pokemon gains +1 ATK,,,,
1,baseplayer.png,X Defend,normal.png,NormalType.png,Active Pokemon gains +1 DEF,,,,
1,baseplayer.png,X Speed,normal.png,NormalType.png,Draw 2 Card,,,,
1,baseplayer.png,Guard Spec,normal.png,NormalType.png,Target die gains -2,,,,
1,baseplayer.png,Dire Hit,normal.png,NormalType.png,Target die gains +2,,,,
1,baseplayer.png,Potion,normal.png,NormalType.png,Recover 1 HP,,,,
1,baseplayer.png,Acid Armor,poison.png,PoisonType.png,"Gain +1 DEF, Poison 1 to ALL trainers.",,,,Gain +1 DEF
1,baseplayer.png,Poison,poison.png,PoisonType.png,"Take 1 damage, then Draw 1. When this card is used, destroy it immediately.",,,,
1,baseplayer.png,Fossil,rock.png,RockType.png,Can be exchanged,,,,
1,baseplayer.png,Escape Rope,normal.png,NormalType.png,Look at the top card of any route deck. You may put it on the bottom instead.,,,,
