units,base,name,img,type,effect,EXP,stat,change
1,baseplayer.png,Sludge,poison.png,Poison,Add 2 Poison Cards to your Rival's Deck,12,,
1,baseplayer.png,Smog,poison.png,Poison,Discard any number of dice you own. Rival adds Poison Cards equal to the number of dice Discarded.,16,,
1,baseplayer.png,Agility,psychic.png,Psychic,All your dice gain -1. This move does not pass priority.,11,,
1,baseplayer.png,Teleport,psychic.png,Psychic,"At the end of this turn, move to the nearest City (you do not trigger the City ability)",8,,
1,baseplayer.png,Rest,psychic.png,Psychic,Discard your hand. Then Draw an equal amount,7,,
1,baseplayer.png,Confusion,psychic.png,Psychic,Give any die +1 or -1,3,,
1,baseplayer.png,Psywave,psychic.png,Psychic,Reroll 1 die,5,,
1,baseplayer.png,Psybeam,psychic.png,Psychic,Reroll 2 dice,8,,
1,baseplayer.png,Psychic,psychic.png,Psychic,Reroll 3 dice,11,,
1,baseplayer.png,Hypnosis,psychic.png,Psychic,Swap 1 die with your Rival. You choose both dice,13,,
1,baseplayer.png,Rock Slide,rock.png,Rock,All opponent dice gain +1,13,,
1,baseplayer.png,Rock Throw,rock.png,Rock,Move 1 die from your Attack Zone to your Defense Zone regardless of stats,4,,
1,baseplayer.png,Withdraw,water.png,Water,Move 1 die from your Attack Zone to your Defense Zone regardless of stats,4,,
1,baseplayer.png,Poke Ball,normal.png,Normal,Catch Tier 1 OR gain +1 EXP,0,,
1,baseplayer.png,Great Ball,normal.png,Normal,Catch Tier 2 OR gain +2 EXP,6,,
1,baseplayer.png,Ultra Ball,normal.png,Normal,Catch Tier 3 OR gain +3 EXP,9,,
1,baseplayer.png,Bicycle,normal.png,Normal,You may move 1 additional space this turn,,,
1,baseplayer.png,HM Cut,grass.png,Grass,"Can Traverse through un-marked areas, as long as they are orthogonal",,,
1,baseplayer.png,HM Surf,water.png,Water,Can Traverse Dotted Lines,,,
1,baseplayer.png,HM Fly,flying.png,Flying,Can traverse to any spot on the map,,,
1,baseplayer.png,HM Flash,electric.png,Electric,Can use tunnels,,,
1,baseplayer.png,Fossil,rock.png,Rock,Can be exchanged,,,
1,baseplayer.png,X Attack,normal.png,Normal,Active Pokemon gains +1 ATK,,,1
1,baseplayer.png,X Defend,normal.png,Normal,Active Pokemon gains +1 DEF,,,1
1,baseplayer.png,X Speed,normal.png,Normal,Draw 2 Card,,,
1,baseplayer.png,Potion,normal.png,Normal,Recover 1 HP,,,
1,baseplayer.png,Poke Doll,normal.png,Normal,Draw 1 additional Pokemon to choose your encounter from.,,,
1,baseplayer.png,Escape Rope,ground.png,Ground,Escape the encounter and immediately end the active Pokemon's turn. You do not gain EXP for the escaped encounter.,,,
1,baseplayer.png,X Accuracy,normal.png,Normal,Target die gains +/- 1,,,
1,baseplayer.png,Repel,normal.png,Normal,Place 1 wild Pokemon available for encounter on the bottom. Then draw 1 new encounter.,,,
1,baseplayer.png,Super Repel,normal.png,Normal,Place 1 any number of wild Pokemon available for encounter on the bottom. Then draw an equal number of new encounters.,,,
1,baseplayer.png,Poke Flute,normal.png,Normal,Encounter Snorlax or place 1 wild Pokemon available for encounter on the bottom. Then draw 1 new encounter.,,,
1,baseplayer.png,X Special,normal.png,Normal,Reroll 1 die,,,
